timestep,mean_reward,std_reward
25000,2.40,2.33
50000,2.20,1.47
75000,6.00,3.58
100000,8.20,3.71
125000,8.40,4.03
150000,5.20,2.86
175000,8.80,6.14
200000,9.20,3.97
