timestep,mean_reward,std_reward
25000,2.40,0.49
50000,4.00,3.69
75000,6.60,4.03
100000,5.80,4.31
125000,4.80,2.23
150000,7.60,2.87
175000,12.40,7.14
200000,15.40,7.96
