timestep,mean_reward,std_reward
25000,2.40,0.80
50000,3.80,2.79
75000,3.60,1.62
100000,3.20,1.47
125000,7.40,2.87
150000,7.20,2.86
175000,5.20,2.71
200000,8.00,4.69
