timestep,mean_reward,std_reward
25000,4.20,2.79
50000,5.00,5.02
75000,3.00,1.67
100000,8.60,2.58
125000,9.20,4.66
150000,15.00,1.10
175000,12.40,4.50
200000,18.60,1.74
