timestep,mean_reward,std_reward
25000,4.20,4.45
50000,4.00,2.28
75000,3.40,2.50
100000,9.80,2.64
125000,8.80,7.44
150000,9.20,4.71
175000,14.00,3.29
200000,17.60,1.74
225000,14.60,5.08
250000,19.00,1.26
275000,18.60,4.59
300000,20.00,1.67
325000,17.80,8.57
350000,19.60,10.67
375000,10.00,6.84
400000,14.00,6.90
