timestep,mean_reward,std_reward
25000,2.00,0.00
50000,2.40,1.20
75000,4.60,4.13
100000,7.80,4.45
125000,12.20,4.35
150000,14.60,6.47
175000,18.80,0.75
200000,15.60,3.44
