timestep,mean_reward,std_reward
25000,3.40,1.62
50000,3.60,1.20
75000,2.60,0.80
100000,3.60,1.74
125000,2.00,0.89
150000,4.80,2.79
175000,3.60,2.58
200000,3.80,2.48
225000,6.00,3.35
250000,5.00,3.69
275000,5.20,3.06
300000,2.80,1.17
325000,5.80,3.49
