timestep,mean_reward,std_reward
25000,2.60,1.36
50000,3.00,1.67
75000,5.20,1.33
100000,5.80,2.71
125000,10.80,5.19
150000,11.40,4.22
175000,8.20,3.25
200000,16.80,3.54
225000,14.00,6.23
250000,11.20,7.68
275000,12.60,8.09
300000,17.20,5.56
325000,21.60,6.09
350000,20.40,7.55
375000,15.20,9.58
400000,18.40,9.99
425000,21.00,5.10
