timestep,mean_reward,std_reward
25000,2.00,2.00
50000,3.40,2.06
75000,5.60,3.14
100000,6.20,1.60
125000,5.20,5.71
150000,2.80,1.47
175000,13.80,3.87
200000,11.80,6.11
