timestep,mean_reward,std_reward
25000,3.80,2.04
50000,2.00,1.10
75000,2.20,1.47
100000,8.40,3.72
125000,4.40,3.50
150000,11.80,4.62
175000,11.60,7.45
200000,13.00,6.57
