timestep,mean_reward,std_reward
25000,4.60,3.20
50000,2.80,2.14
75000,9.00,5.14
100000,14.20,2.04
125000,10.80,5.91
150000,6.80,5.42
175000,13.60,3.44
200000,16.80,4.02
